District/City,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,District/City (Added),5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020
Dhaka City,3973,4309,4499,4780,5226,5674,Dhaka City,5886,6162,6423,6659,7275,7684,8244,8593,8923,9565,,
Dhaka (District),109,109,110,115,131,168,Dhaka (District),195,203,206,209,234,238,246,252,267,290,,
Gazipur,322,322,324,325,259,328,Gazipur,328,330,332,333,338,347,460,490,509,527,,
Kishoreganj,201,201,201,202,202,202,Kishoreganj,202,202,202,202,205,205,206,206,206,207,,
Madaripur,39,46,46,47,48,53,Madaripur,53,54,54,54,57,57,61,61,61,63,,
Manikganj,22,22,22,22,24,28,Manikganj,28,28,28,28,29,29,29,29,29,38,,
Narayanganj,966,987,1007,1021,1055,1072,Narayanganj,1078,1136,1177,1198,1243,1286,1345,1391,1426,1463,,
Munshigonj,112,122,126,127,161,170,Munshigonj,178,210,212,216,216,217,283,297,297,329,,
Narshingdi,151,152,152,154,166,167,Narshingdi,167,171,171,171,172,172,173,173,173,174,,
Rajbari,19,19,19,19,22,23,Rajbari,23,23,23,23,23,23,24,27,27,27,,
Faridpur,13,13,13,14,15,21,Faridpur,21,21,21,24,31,32,47,51,55,56,,
Tangail,29,29,29,30,30,30,Tangail,30,31,31,31,31,32,35,35,35,40,,
Shariatpur,30,39,35,40,44,54,Shariatpur,55,57,57,57,65,60,66,67,67,71,,
Gopalganj,45,45,45,47,44,45,Gopalganj,45,49,50,56,58,62,65,78,82,83,,
Chattogram,75,78,80,82,105,112,Chattogram,140,159,207,220,266,314,497,553,619,695,,
Cox’s bazar,37,37,37,37,39,40,Cox’s bazar,53,72,77,83,95,107,127,139,161,185,,
Cumilla,99,104,105,105,112,130,Cumilla,135,150,169,171,182,186,225,259,278,298,,
B. Baria,43,43,44,55,56,56,B. Baria,56,57,57,57,57,58,59,60,60,67,,
Khagrachari,2,2,2,2,2,2,Khagrachari,2,2,3,3,3,3,7,7,7,7,,
Laksmipur,41,41,42,43,45,45,Laksmipur,48,50,58,58,59,74,89,93,88,89,,
Bandarban,7,7,7,7,4,4,Bandarban,4,4,4,4,4,5,5,5,5,6,,
Noakhali,9,9,15,17,21,22,Rangmati,4,4,4,4,4,4,24,25,26,27,,
Feni,6,6,6,6,6,7,Noakhali,23,27,27,30,48,59,69,89,103,113,,
Chandpur,15,15,15,15,27,37,Feni,7,8,8,8,9,13,25,26,48,76,,
Moulovi Bazar,12,17,17,19,21,29,Chandpur,42,43,55,55,56,56,74,77,79,81,,
Sunamganj,29,33,33,33,35,35,Moulovi Bazar,29,30,30,33,36,36,37,37,37,39,,
Hobiganj,55,67,67,69,69,70,Sunamganj,35,35,37,38,38,43,43,43,44,46,,
Sylhet,18,18,18,18,24,27,Hobiganj,70,70,70,73,74,81,100,100,100,112,,
Rangpur,38,45,50,62,75,82,Sylhet,27,28,28,36,36,39,39,39,40,48,,
Gaibandha,21,24,25,23,24,24,Rangpur,89,89,120,128,134,143,156,173,213,272,,
Nilphamari,15,16,16,23,25,31,Gaibandha,24,24,24,25,25,25,25,26,26,26,,
Lalmonirhat,3,3,3,3,4,4,Nilphamari,31,35,41,41,41,43,43,43,50,52,,
Kurigram,8,15,19,22,22,22,Lalmonirhat,4,13,13,13,13,15,15,17,22,23,,
Dinajpur,21,21,21,20,21,29,Kurigram,22,33,34,35,35,36,39,41,42,54,,
Panchagar,8,8,8,8,8,8,Dinajpur,31,36,38,42,42,43,46,47,53,56,,
Thakurgaon,17,17,17,19,19,20,Panchagar,9,10,10,10,10,10,11,11,15,15,,
Khulna,13,13,16,16,17,17,Thakurgaon,20,23,23,23,23,24,24,24,27,27,,
Jessore,63,63,63,63,74,75,Khulna,20,20,20,20,22,22,23,23,23,27,,
Bagerhat,2,2,2,2,2,2,Jessore,75,79,79,79,79,84,89,89,106,108,,
Narail,13,13,13,13,13,13,Bagerhat,2,2,3,3,3,5,6,6,6,8,,
Magura,8,8,8,8,7,8,Narail,13,13,13,13,14,14,15,15,15,16,,
Meherpur,2,2,2,2,3,4,Magura,8,11,12,12,14,18,22,22,23,23,,
Satkhira,2,2,2,2,3,4,Meherpur,4,5,5,5,5,5,5,5,5,5,,
Jhenaidah,19,19,19,19,27,33,Satkhira,4,4,4,4,4,4,5,5,5,6,,
Kushtia,16,16,16,16,16,18,Jhenaidah,33,34,38,38,40,41,43,43,44,44,,
Chuadanga,9,9,9,9,10,15,Kushtia,20,20,20,21,23,23,25,25,25,27,,
Mymensingh,145,145,150,166,169,198,Chuadanga,15,23,23,23,25,30,41,41,79,87,,
Jamalpur,66,66,73,73,74,79,Mymensingh,201,204,212,221,233,246,262,276,284,295,,
Netrokona,32,32,41,51,52,62,Jamalpur,79,102,104,110,110,110,112,113,118,120,,
Sherpur,26,26,26,26,26,27,Netrokona,63,64,68,68,70,81,82,89,91,108,,
Barguna,33,33,36,36,33,33,Sherpur,28,30,30,36,39,39,40,41,41,42,,
Bhola,5,5,5,5,5,6,Barguna,34,34,35,37,37,37,37,37,37,37,,
Barishal,40,40,41,41,41,44,Bhola,7,7,7,7,10,10,11,11,11,12,,
Potuakhali,28,28,28,28,28,28,Barishal,47,48,48,54,55,56,59,60,60,60,,
Pirojpur,9,9,10,10,0,0,Potuakhali,28,28,28,28,29,29,29,29,29,29,,
Jhalokathi,8,8,10,10,10,10,Pirojpur,0,0,6,7,7,7,7,7,7,7,,
Joypurhat,33,33,33,33,34,34,Jhalokathi,13,13,13,13,13,13,13,14,14,16,,
Pabna,10,10,10,11,15,16,Joypurhat,37,39,39,42,47,55,55,56,69,69,,
Chapainawabganj,2,2,2,2,2,2,Pabna,16,16,16,18,18,18,18,18,18,19,,
Bogra,19,19,19,19,18,18,Chapainawabganj,11,12,14,14,14,15,15,15,15,15,,
Natore,9,9,9,9,10,11,Bogra,18,18,18,18,18,18,29,29,29,45,,
Naogaon,15,16,16,16,17,17,Natore,11,12,12,13,13,13,14,14,14,14,,
Sirajganj,3,3,3,4,4,4,Naogaon,17,24,24,25,33,33,33,40,45,45,,
Rajshahi,20,20,21,21,25,26,Sirajganj,4,6,6,6,6,6,6,6,7,7,,
,,,,,,,Rajshahi,26,26,26,26,27,27,27,30,31,32,,
